question_id,group,correctness,evidence_use,actionability,regulatory_basis,skill_workflow,applicable_total,applicable_max,normalized_100,rationale
PL002_Emission_大气,C,2,2,2,N/A,2,8,8,100.0,完整体现审核工作流，准确发现限值矛盾、因子不统一及标准缺漏。证据链清晰，整改意见明确。受限于无RAG，未能像R4那样结合外部标准条款验证臭气高度取值合理性，外部合规性校验稍弱。
PL002_Emission_大气,D,2,2,2,2,2,10,10,100.0,审核最全面，除共性限值问题外，利用RAG精准指出臭气30m排气筒直接套用25m限值的方法错误及特征污染物缺失。工作流完整，法规依据确凿，证据定位准确，修改建议针对性强，体现了最高审核水准。
PL002_EnvQuality_Q01,A,1,2,2,N/A,N/A,5,6,83.33,无RAG下准确识别表3-1年份错位及变化率符号缺失等实质问题，证据定位精准且修改建议具体。因无法外部核验公报原文，未能确认核心数据正确性，故正确性扣1分，但符合盲评规则不扣分。
PL002_EnvQuality_Q01,B,2,2,2,2,N/A,8,8,100.0,利用RAG验证了核心数据与公报一致，同时指出表格年份标注及变化率符号错误，结论全面准确。证据链完整，法规依据充分，修改建议具体可执行，完全覆盖参考答案并补充了真实质量问题。
PL002_EnvQuality_Q01,C,1,2,2,N/A,2,7,8,87.5,体现了完整的内部核查工作流，精准发现表格年份错位、变化率计算错误及OCR解析风险。受限于无RAG无法验证数据真伪，判定为部分完成属合理审慎，但未确认数据正确性，故正确性为1。
PL002_EnvQuality_Q01,D,2,2,2,2,2,10,10,100.0,结合RAG与技能工作流，既验证了数据准确性，又发现了表格年份误写、符号缺失及章节间引用年份不统一等问题。证据详实，法规依据正确，审核维度比参考答案更全面，行动建议具体明确。
PL002_V01_Q01,A,2,2,2,N/A,N/A,6,6,100.0,结论与参考答案一致，准确识别产品及工艺支持C2929分类。额外指出VOCs及原辅料数据不一致问题，证据定位清晰，修改建议具体可执行，符合评分规则对真实问题的加分项。
PL002_V01_Q01,B,1,2,2,2,N/A,7,8,87.5,虽引用RAG提示C2651边界风险，但过度质疑导致结论为“待复核”，与金标“正确”存在实质偏差。证据使用充分，法规依据详实，指出了数据问题并给出核验动作，但因核心结论未完全对齐扣correctness分。
PL002_V01_Q01,C,1,2,1,1,2,7,10,70.0,分析逻辑正确但结论保守为“待复核”，未明确肯定行业分类合理性。体现了完整审核工作流，证据引用准确，但因缺乏外部法规验证且仅给出方向性复核建议，actionability和regulatory_basis略低。
PL002_V01_Q01,D,1,2,2,2,2,9,10,90.0,结合RAG深入分析C2651边界，体现完整技能流和法规依据。但因过度谨慎将结论定为“待复核”，与参考答案“正确”有偏差。证据扎实，针对产品用途缺失给出了具体核验动作，整体质量高但结论对齐度不足。
PL003_Emission_噪声,A,2,2,2,N/A,N/A,6,6,100.0,结论正确，准确总结功能区、标准及限值并分析一致性。证据定位清晰，无问题时明确保持项与边界，符合rag/skill不可用约束。
PL003_Emission_噪声,B,2,2,2,2,N/A,8,8,100.0,结论正确且经RAG核验限值无误。证据充分，无问题下明确保持项与未核验边界，法规依据完整，skill不可用处理合规。
PL003_Emission_噪声,C,1,2,2,N/A,2,7,8,87.5,核心标准选取判断正确，但将预测缺失等超纲问题纳入导致结论降级为部分完成，属过度结论。证据与流程完整，指出了真实额外问题。
PL003_Emission_噪声,D,1,2,2,2,2,9,10,90.0,标准选取分析正确，但因缺外部区划文件判定部分完成，对已提供证据支持的内部一致性审核而言属过度保守。法规与流程完备。
PL003_Emission_固体,A,2,2,2,N/A,N/A,6,6,100.0,结论与参考答案一致，正确识别GB18599-2020缺失问题。证据引用准确，修改建议具体可执行。虽rag不可用，但基于报告文本的判断符合金标要求，未发现幻觉。
PL003_Emission_固体,B,2,2,2,2,N/A,8,8,100.0,结论正确，准确指出缺少GB18599-2020。利用RAG验证了标准适用性，证据链完整，修改建议明确。法规依据充分，完全符合评分规则中对额外真实问题的认可。
PL003_Emission_固体,C,2,2,2,N/A,2,8,8,100.0,结论正确，除识别GB18599缺失外，还发现泥垢代码不一致等报告内部真实问题。工作流体现完整核查步骤，建议具体。符合不扣分规则，审核深度优于仅对标答案者。
PL003_Emission_固体,D,2,2,2,2,2,10,10,100.0,结论正确，结合RAG与技能流全面审核。既指出GB18599缺失，又发现代码不一致及标准名称表述问题。证据详实，依据充分，体现了高水平盲评应有的完整性与准确性。
PL003_Emission_水污,A,1,2,2,N/A,N/A,5,6,83.33,RAG不可用故法规与流程评分为null。正确识别标准选取逻辑并指出名称不一致等真实问题，证据定位准确；因无法核验知识库一致性给出待复核结论合理，修改建议具体可执行。
PL003_Emission_水污,B,1,2,2,2,N/A,7,8,87.5,技能不可用故流程评分为null。利用RAG发现农村污水站属性与三级标准适用条件不匹配及水量矛盾等实质问题，证据充分，法规引用正确；虽未直接确认合理性但指出了关键合规风险，建议具体。
PL003_Emission_水污,C,1,2,2,N/A,2,7,8,87.5,RAG不可用故法规评分为null。完整体现审核工作流，精准识别水量矛盾、名称混用及限值冲突等报告内部实质问题，证据详实；判定存在问题符合指令要求，给出了明确的核查边界和修正方向。
PL003_Emission_水污,D,1,2,2,2,2,9,10,90.0,综合表现最佳。完整执行工作流并有效利用RAG，既核查了内部一致性（水量、名称），又验证了外部合规性（设施属性与标准匹配度）；证据链完整，法规依据准确，指出的问题真实且建议具备高度可操作性。
PL003_V01_Q01,A,2,2,2,N/A,N/A,6,6,100.0,结论正确，证据引用准确。因rag_available=false，法规依据与技能流程按规则置null。无问题时明确了审核边界与保持项，行动性满分。
PL003_V01_Q01,B,2,2,2,2,N/A,8,8,100.0,结论正确，证据充分且定位精准。引用了GB/T4754等有效外部标准支持结论。因skill_available=false，技能流程置null。无问题下边界清晰，行动性满分。
PL003_V01_Q01,C,2,2,2,N/A,2,8,8,100.0,结论正确，内部证据链完整。因rag_available=false，法规依据置null。技能可用且体现了分步核查与边界界定，流程规范。无问题时行动建议明确。
PL003_V01_Q01,D,2,2,2,2,2,10,10,100.0,结论正确，证据详实。结合了RAG检索到的国标定义与产污系数手册进行交叉验证，法规依据充分。技能流程完整体现分步核查与边界排除，各项指标均为最优。
PL003_V01_Q03,A,2,1,2,N/A,N/A,5,6,83.33,基础核算正确，且依据评分规则指出报告后文废气投资不一致及沉淀池漏列等真实问题，不应扣分。但所引证据位置（root[8]）超出提供片段范围，定位模糊，故证据使用扣1分。修改建议具体可执行。
PL003_V01_Q03,B,2,1,2,2,N/A,7,8,87.5,结论正确并识别出额外真实不一致问题。引用了有效的内部审核指南作为法规依据。但核心矛盾证据定位至未提供的root[8]，证据完整性不足。给出了明确的核实与补充说明建议，可操作性强。
PL003_V01_Q03,C,2,1,2,N/A,2,7,8,87.5,准确完成基础核算并发现额外真实问题，符合不扣分规则。体现了完整的分步核查流程。但关键不一致证据指向未提供的文本段落，证据链存在断点。虽无外部法规引用，但内部一致性复核逻辑严密，行动建议明确。
PL003_V01_Q03,D,2,1,2,2,2,9,10,90.0,全面覆盖基础核算与额外真实问题，结论准确。结合了RAG指南与完整工作流。同样因引用未提供片段的证据导致定位扣分。提出了三项具体整改点，包括固废暂存设施明细澄清， actionable程度最高。
PL004_Emission_噪声,A,2,2,2,N/A,N/A,6,6,100.0,结论与参考答案一致，且准确识别出报告中GB3096误用及工况矛盾等真实问题。证据定位精准，修改建议具体可执行。因rag/skill不可用，相关维度依规置null。
PL004_Emission_噪声,B,2,2,2,2,N/A,8,8,100.0,结论正确并发现额外真实问题。利用RAG验证了标准限值，证据充分。给出了具体的修正建议和补充夜间限值的操作指引。skill不可用故置null。
PL004_Emission_噪声,C,2,2,2,N/A,2,8,8,100.0,结论正确且挖掘出报告内部一致性问题。完整体现了审核工作流，分步核查清晰，问题描述具体指向明确。因rag不可用，法规依据维度置null。
PL004_Emission_噪声,D,2,2,2,2,2,10,10,100.0,回答最全面，结合RAG与技能流，既确认标准选取合理，又精准指出工况矛盾、标准误用及限值缺失等多处实质问题，修改建议极具操作性。
PL004_Emission_固体,A,2,2,2,N/A,N/A,6,6,100.0,结论与参考答案一致，准确识别标准选取合理但存在名称不规范及列示位置问题。证据定位精准，修改建议具体可执行。因rag_available=false，法规与技能维度按规则置null。
PL004_Emission_固体,B,1,2,2,2,N/A,7,8,87.5,方向正确但判定为“部分完成”略显保守。有效利用RAG指出标准适用性边界，证据扎实。虽提及RAG缺失限制，但已用现有依据充分支撑结论，法规依据得分2。
PL004_Emission_固体,C,2,2,2,N/A,2,8,8,100.0,结论准确，完整体现审核工作流，分步核查清晰。精准指出标准列示不完整及名称错误，整改意见明确。因rag_available=false，法规维度按规则置null，技能维度满分。
PL004_Emission_固体,D,2,2,2,2,2,10,10,100.0,结论正确且深度最佳。利用RAG发现GB18599适用范围争议及代码/周期不一致等额外真实问题，符合评分规则不扣分项。证据链完整，法规与技能维度均满分，行动建议极具价值。
PL004_Emission_水污,A,1,2,2,N/A,N/A,5,6,83.33,RAG不可用下正确识别内部标准路径合理，并发现氨氮限值及名称不统一等真实问题。因无法完成知识库对比，结论保守为待复核，符合场景约束，但未给出最终合理性判定。
PL004_Emission_水污,B,2,2,2,2,N/A,8,8,100.0,准确利用RAG发现报告尾水排放河道（顺德支流）与知识库（北马涌/顺德水道）不一致的关键问题，证据定位精准，修改建议具体可执行，法规依据充分，完全满足审核要求。
PL004_Emission_水污,C,1,2,2,N/A,2,7,8,87.5,RAG不可用时完整体现分步核查流程，发现单位错误及水量核算遗漏等额外真实问题。但因外部核验缺失仅给出部分完成结论，未对标准选取合理性做最终明确判断。
PL004_Emission_水污,D,2,2,2,2,2,10,10,100.0,完整执行审核工作流，精准利用RAG指出尾水河道不一致的核心问题，并额外发现回用标准指标引用错误及限值可疑等真实细节问题，证据链完整，建议具体可执行。
PL004_V01_Q01,A,2,2,2,N/A,N/A,6,6,100.0,结论正确，准确识别产品工艺与行业匹配性。虽无RAG但基于报告证据充分论证，指出名录与国标表述差异并给出核实建议，边界清晰。
PL004_V01_Q01,B,2,2,2,2,N/A,8,8,100.0,结论正确，结合RAG中C2929定义及产污系数验证了改性塑料造粒的行业归属，证据链完整，分析逻辑严密，符合参考答案要求。
PL004_V01_Q01,C,2,2,2,N/A,2,8,8,100.0,结论正确，完整体现审核工作流，分步核查产品、原料、工艺匹配性。明确指出环评名录与国民经济分类的区别并提示核对，规范性强。
PL004_V01_Q01,D,1,2,2,2,2,9,10,90.0,判定为“待人工复核”与参考答案“正确”不完全一致。虽指出了代码缺失的真实问题且依据充分，但对“基本合理”的判断过于保守，偏离金标结论。
PL005_Emission_噪声,A,2,2,2,N/A,N/A,6,6,100.0,结论与参考答案一致，准确识别3类区及限值。证据引用精准定位报告内容。无问题下明确保持项与边界，行动建议具体。因rag/skill不可用，法规与流程评分为null。
PL005_Emission_噪声,B,2,2,2,2,N/A,8,8,100.0,结论正确且与金标一致。利用RAG验证了标准限值，证据链完整。明确了核验边界与缺失项，可操作性强。法规依据充分。因skill不可用，流程评分为null。
PL005_Emission_噪声,C,2,2,2,N/A,2,8,8,100.0,内部一致性分析正确，符合金标要求。证据引用详实。虽判“部分完成”但系因外部核验受限，已给出明确内部审核边界与缺失清单，体现完整审核工作流。法规评分为null。
PL005_Emission_噪声,D,2,2,2,2,2,10,10,100.0,结合RAG与报告证据，结论正确且分析全面。准确指出区划文件缺失导致的外部核验局限，体现了严谨的审核工作流与法规适用性判断。各项指标均达满分标准。
PL005_Emission_固体,A,2,2,2,N/A,N/A,6,6,100.0,准确识别报告缺失GB18599-2020，符合评分规则中‘指出额外真实问题不扣分’原则。证据定位精准，修改建议具体明确，结论虽与参考答案字面不同但实质正确且更有价值。
PL005_Emission_固体,B,1,2,1,1,N/A,5,8,62.5,识别出一般固废标准缺失问题，但因RAG限制给出‘待人工复核’结论，未像R1那样直接指出具体缺失标准号，导致行动建议不够具体，正确性和可操作性略逊于R1。
PL005_Emission_固体,C,2,2,2,N/A,2,8,8,100.0,在无RAG情况下准确指出缺失GB18599-2020，体现了良好的审核技能。证据引用规范，问题分析透彻，额外指出了贮存能力表述不规范等真实问题，符合评分规则要求。
PL005_Emission_固体,D,2,2,2,2,2,10,10,100.0,结合RAG验证了危废标准，同时准确指出一般固废缺失贮存标准（隐含GB18599）。证据链完整，既利用了工具优势又弥补了知识库盲区，分析全面且建议具体可执行。
PL005_Emission_水污,A,1,2,1,N/A,N/A,4,6,66.67,RAG不可用下正确完成内部核查并声明无法外部比对，证据定位准确。但因未完成题目要求的知识库一致性对比，结论完整性受限，仅给部分一致分；建议具体但非最终修改动作。
PL005_Emission_水污,B,2,2,2,2,N/A,8,8,100.0,准确利用RAG发现尾水排放河道与知识库不一致的真实问题，证据链完整且定位清晰；给出具体核实与修正建议，法规依据引用正确支撑结论，符合评分规则对额外真实问题的认可。
PL005_Emission_水污,C,1,2,1,N/A,2,6,8,75.0,Skill可用下完整体现分步核查流程，内部证据使用充分。但受限于无RAG未能执行外部一致性对比，核心任务未完成，结论仅为部分完成；提出的氨氮限值问题属有效补充但非题目核心要求。
PL005_Emission_水污,D,2,2,2,2,2,10,10,100.0,完整执行审核工作流，精准识别报告与知识库在尾水河道上的实质差异，并补充发现表内数据核算不一致问题；证据引用规范、法规依据充分，修改建议具体可执行，全面满足题目及评分规则要求。
PL006_EnvQuality_Q01,A,1,2,2,N/A,N/A,5,6,83.33,无RAG下准确识别地表水证据链不足及公报名称笔误，结论方向正确但未能验证数据实质准确性；因rag_available=false，法规与技能维度不适用。
PL006_EnvQuality_Q01,B,1,2,1,2,N/A,6,8,75.0,利用RAG验证了数据实质准确性，但遗漏参考答案明确指出的公报名称及文号笔误问题，导致审核完整性不足；法规依据引用正确。
PL006_EnvQuality_Q01,C,1,2,2,N/A,2,7,8,87.5,无RAG下完整执行内部核查流程，准确发现地表水证据缺失及名称笔误，判定审慎合理；因rag_available=false，法规维度不适用。
PL006_EnvQuality_Q01,D,2,2,2,2,2,10,10,100.0,结合RAG既验证了数据实质准确性，又精准指出公报名称、文号笔误及表格解析风险，结论与金标完全一致且证据链完整，行动建议具体可执行。
