question_id,rag_context_sha256,top5_sha256
PL011_HazardousWaste_Q01,5c891722fbe7e156bf22d04c7a49f5b0826deb9e03330131200285bbca29a0f4,1f5eb1afa9eb4d6b982a4e1f3f00680db7d15786efb06504c0c18c72b5afc361
PL012_CaptureAirflow_Q01,699ed27f5f8b0052dc538fbb352e4e269fea4d633bbba826fa9d380340e7b521,3600cc48888d251da4a10222e29c726e810517281132587ba1714c257feffd69
PL012_ActivatedCarbon_Q01,3e0be3c6dd9f49bf35e0ad585a17f63218fe761de7f9dd4ae89b64382063fd76,de37b108e98c06835f81409f7bda3fb65eb74f13276f8af9c9b6ec0db3b12f1c
PL012_HazardousWaste_Q01,d3c3db0a14db07bf8a95d11b7e2bf5dee9f9c18a33288cbbc13e94c49129aed8,cb7858cace40247a0d64da18400b3dc74734c25ef7174acf70fed83bca50ff64
PL012_VOCSTotal_Q01,c7a3ce387e5416d4b8f7171346b78bb2e72a84807aea73b5441f1f4db82d71aa,ec839dcb0af62aa7b7f97af932fe509581f73ce6f2a1948d445b9d3e0781f8bd
PL013_SourceStrength_Q01,42b65aa7ade64752c230f1f9f7394451b9dfdf7c1d17979ea90899fc77c87e4d,f1c650432947ec19bec0138655dfcb3bc856fc3dc227b8fa36a886879d9a90ae
PL013_Coefficient_Q01,da9b4b2dc1ba49b47565708698bd9ec74df4d4cbc76a02f3e74c1bf7fed71765,bead5062cf4a4ac2e3e2a69c10920fe1f142a56af4728e64c65c527b122cd7e4
PL013_ActivatedCarbon_Q01,91d5d7697ecdec176d3384928b40c6ad30e0992e3db3a7095850e26296656c16,e87f49fa9ba0ccc257836e30fb7996470e00f3df3c7c5752d82aaec2449d1a97
PL013_HazardousWaste_Q01,0541c27b1b5f3def971a1b1f667392d39c561c038ca0ed22d40653636bc9b86b,f2ceb662bcd6217c2414b99d6b214eeb90374103eb3c97172863cd3f232b77df
PL014_Coefficient_Q01,b83eb9ecc9e118de3561ae1cd3c651182736c31abbc2f9137c1fb2df13a1b3d7,035d6ca59ef75da696182aeb4cd7b205b1b5a727d266aa5d861e3f4a6589a6c7
PL014_CaptureAirflow_Q01,324bcdf13837d27d6c525a586a154e6d0a2d0271a56ee4407659f7e6f9199ea7,6ad302b672441d0c2370dd56bc912b78d0835a492464e5a9b833cb097008aa9d
PL014_DesignAirflow_Q01,2b199db039a0a8bd047383505322e1f02d15fa6b4bab56f39b8c071ceed59a49,69ebff9e43412c36c5630a4a733d577745b954c0b91a43fc0bf02d7faeeab56b
PL014_VOCSTotal_Q01,8eaae85778850b7387e06c75e472bdbd31d34289ae3a1e50384fc82fb03161b0,b2ccd8f05bf54fd75e19d8057d5bf708fcbe421df3a17294e1605c7fdc5bf0f3
PL015_Coefficient_Q01,06bfe7790482a397c16814da8f826c71ee17ca3666a52034cdb183fa7ebc167a,349cea9f5b0cbf82db878bbe9561b7142a86f3360b020dc894cfa32724767777
PL015_CaptureAirflow_Q01,1f9bca54c5180b88b1ff4060c9d9fc406598408b6dffa62c4b13360f8c466f59,16a2f76d1ae07f442c2c669e1c955482dda6e7eacd92a55376505c16893941cc
PL015_CaptureEfficiency_Q01,fd3c857e66d4df5e2f285c1c73f4cee39ef1ee831a6efde33368a7baa3411d46,d824a3384af8fcfb423cc19d2694441851261e1aec837ce24882c139e9810f05
PL015_HazardousWaste_Q01,53ce6e857ebe17da5384e5ff500fce80428b65e073fcb1251f7830bc6df6c7ca,b023ddd922596372f837f38a3721046862dad46eca3dd1ca6a2c2526fa85a919
