group,question_id,judgement,answer_mode,report_status,external_status,n_evidence,n_checks,n_calculations,n_issues,n_ext_refs,n_missing_refs,skill_id_present,manual_review_needed,used_unprovided_knowledge,report_evidence_backcheck
B,PL003_Emission_固体,存在问题,full_validation,issue_found,verified,2,3,0,2,3,0,False,True,False,True
B,PL003_Emission_水污,存在问题,partial_internal,issue_found,not_performed,2,3,2,3,3,3,True,True,False,True
B,PL003_V01_Q01,正确,determinate_internal,pass,insufficient_reference,2,3,0,0,1,1,True,False,False,True
B,PL003_V01_Q03,存在问题,partial_internal,issue_found,not_performed,2,3,2,1,0,1,False,True,False,True
B,PL004_Emission_噪声,存在问题,partial_internal,issue_found,not_performed,2,3,2,2,2,2,False,True,False,False
B,PL004_Emission_固体,存在问题,partial_internal,issue_found,insufficient_reference,2,3,0,3,4,2,True,True,False,True
B,PL004_Emission_水污,待人工复核,partial_internal,issue_found,not_performed,2,3,2,2,3,3,False,True,False,True
B,PL004_V01_Q01,正确,full_validation,pass,verified,2,3,1,0,2,0,False,False,False,True
B,PL005_Emission_噪声,部分完成,partial_internal,pass,insufficient_reference,2,3,1,0,2,2,False,True,False,True
B,PL005_Emission_固体,存在问题,full_validation,issue_found,insufficient_reference,2,3,2,2,2,3,True,True,False,True
B,PL005_Emission_水污,部分完成,partial_internal,issue_found,insufficient_reference,2,3,1,1,3,2,False,True,False,True
B,PL006_EnvQuality_Q01,存在问题,full_validation,issue_found,verified,2,3,2,1,2,0,False,True,False,True
C,PL001_Emission_固体,存在问题,determinate_internal,issue_found,not_performed,2,3,1,1,0,3,True,False,False,True
C,PL001_EnvQuality_Q01,部分完成,partial_internal,issue_found,not_performed,2,3,2,3,0,2,True,True,False,True
C,PL001_V01_Q01,部分完成,partial_internal,partially_verified,not_performed,2,3,0,1,0,1,True,True,False,True
C,PL002_Emission_噪声,存在问题,determinate_internal,issue_found,not_performed,2,3,1,2,0,2,True,False,False,True
C,PL002_Emission_固体,存在问题,determinate_internal,issue_found,not_performed,2,3,2,3,0,4,True,True,False,True
C,PL002_Emission_大气,存在问题,determinate_internal,issue_found,not_performed,2,3,2,2,0,3,True,False,False,True
C,PL002_EnvQuality_Q01,部分完成,partial_internal,issue_found,not_performed,2,3,2,3,0,2,True,True,False,False
C,PL002_V01_Q01,部分完成,partial_internal,issue_found,not_performed,2,3,2,1,0,1,True,True,False,True
C,PL003_Emission_噪声,部分完成,determinate_internal,pass,not_performed,2,3,0,0,0,2,True,False,False,False
C,PL003_Emission_固体,存在问题,determinate_internal,issue_found,not_performed,2,3,0,3,0,3,True,False,False,True
C,PL003_Emission_水污,部分完成,partial_internal,issue_found,not_performed,2,3,0,1,0,3,True,False,False,True
C,PL003_V01_Q01,正确,determinate_internal,pass,not_performed,3,3,0,0,0,1,True,False,False,True
C,PL003_V01_Q03,存在问题,determinate_internal,issue_found,not_required,2,3,2,1,0,0,True,False,False,False
C,PL004_Emission_噪声,存在问题,determinate_internal,issue_found,not_performed,2,3,1,2,0,2,True,False,False,True
C,PL004_Emission_固体,部分完成,partial_internal,issue_found,not_performed,2,3,2,1,0,4,True,True,False,True
C,PL004_Emission_水污,部分完成,determinate_internal,pass,not_performed,2,3,0,0,0,3,True,False,False,True
C,PL004_V01_Q01,正确,determinate_internal,pass,not_performed,2,3,0,0,0,1,True,False,False,True
C,PL005_Emission_噪声,部分完成,determinate_internal,pass,not_performed,2,3,0,0,0,2,True,False,False,True
C,PL005_Emission_固体,部分完成,partial_internal,issue_found,not_performed,2,3,2,1,0,3,True,False,False,True
C,PL005_Emission_水污,存在问题,determinate_internal,issue_found,not_performed,2,3,2,1,0,3,True,False,False,False
C,PL006_EnvQuality_Q01,部分完成,partial_internal,pass,not_performed,2,3,2,0,0,1,True,False,False,True
D,PL001_Emission_固体,存在问题,full_validation,issue_found,verified,2,3,0,1,2,2,True,True,False,True
D,PL001_EnvQuality_Q01,存在问题,full_validation,issue_found,verified,2,3,2,3,2,2,True,False,False,True
D,PL001_V01_Q01,正确,full_validation,pass,insufficient_reference,2,3,0,0,2,3,True,False,False,True
D,PL002_Emission_噪声,正确,full_validation,pass,verified,2,3,0,0,2,1,True,False,False,False
D,PL002_Emission_固体,存在问题,full_validation,issue_found,verified,2,3,0,2,2,0,True,False,False,True
D,PL002_Emission_大气,存在问题,full_validation,issue_found,verified,2,3,0,1,2,0,True,False,False,False
D,PL002_EnvQuality_Q01,存在问题,full_validation,issue_found,verified,2,3,2,3,2,0,True,False,False,True
D,PL002_V01_Q01,正确,full_validation,pass,verified,2,3,0,0,2,0,True,False,False,True
D,PL003_Emission_噪声,正确,full_validation,pass,verified,2,3,0,0,2,1,True,False,False,False
D,PL003_Emission_固体,存在问题,full_validation,issue_found,verified,2,3,0,2,2,0,True,False,False,False
D,PL003_Emission_水污,部分完成,partial_internal,issue_found,insufficient_reference,2,3,0,1,2,2,True,True,False,True
D,PL003_V01_Q01,正确,full_validation,pass,verified,3,3,0,0,2,1,True,False,False,False
D,PL003_V01_Q03,存在问题,determinate_internal,issue_found,not_required,2,3,2,1,0,0,True,False,False,False
D,PL004_Emission_噪声,存在问题,full_validation,issue_found,verified,2,3,1,2,2,1,True,False,False,True
D,PL004_Emission_固体,存在问题,full_validation,issue_found,verified,2,3,0,2,2,0,True,False,False,True
D,PL004_Emission_水污,正确,full_validation,pass,verified,2,3,0,1,2,2,True,False,False,True
D,PL004_V01_Q01,正确,full_validation,pass,verified,2,3,0,0,2,1,True,False,False,True
D,PL005_Emission_噪声,正确,full_validation,pass,verified,2,3,0,0,2,0,True,False,False,True
D,PL005_Emission_固体,存在问题,full_validation,issue_found,verified,2,3,0,1,2,0,True,False,False,True
D,PL005_Emission_水污,正确,full_validation,pass,verified,2,3,0,0,2,0,True,False,False,False
D,PL006_EnvQuality_Q01,存在问题,full_validation,issue_found,verified,2,3,1,2,2,0,True,False,False,True
