"category","file_role","source_file","source_path","copy_path","sha256","verified"
"环境质量数据引用","实验Top5实际检索","#6_2023年佛山市顺德区生态环境状态公报.txt","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#6_2023年佛山市顺德区生态环境状态公报.txt","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\02_环境质量数据引用问题\02_实验Top5实际检索文件\#6_2023年佛山市顺德区生态环境状态公报.txt","31487d7dc5ced8cfbbfab120035556d15d9bc1a5fcab62828c437762ed60b0d9","True"
"环境质量数据引用","实验Top5实际检索","#6_2024年佛山市顺德区生态环境状态公报.txt","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#6_2024年佛山市顺德区生态环境状态公报.txt","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\02_环境质量数据引用问题\02_实验Top5实际检索文件\#6_2024年佛山市顺德区生态环境状态公报.txt","70d6a0966106900a6ffe428ccf1b986480fe68f5b5ba420f829e2d9eca9e236d","True"
"环境质量数据引用","实验Top5实际检索","#7_环境质量标准限值速查.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#7_环境质量标准限值速查.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\02_环境质量数据引用问题\02_实验Top5实际检索文件\#7_环境质量标准限值速查.md","3f4db8f509f1fa0a545a54c6a4a93ac45cf0763b89c87961e6985e7ee320ab87","True"
"环境质量数据引用","实验Top5实际检索","EVID_ENV_SHUNDE_2022.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\EVID_ENV_SHUNDE_2022.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\02_环境质量数据引用问题\02_实验Top5实际检索文件\EVID_ENV_SHUNDE_2022.md","73c022986aedeb92e59e35f9c92d7869475b86660ea70872df62767b3de3994d","True"
"环境质量数据引用","实验Top5实际检索","GB_3095-2012.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_3095-2012.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\02_环境质量数据引用问题\02_实验Top5实际检索文件\GB_3095-2012.md","cb39c81db4410d07d47df6ee57f3962b1ee80070859d164246fae4532b60b95d","True"
"环境质量数据引用","实验Top5实际检索","GB_3838-2002.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_3838-2002.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\02_环境质量数据引用问题\02_实验Top5实际检索文件\GB_3838-2002.md","10f73c7a954df549a25ea19cf497c0de59ea062fa2d455b4c2c9e0568e505eec","True"
"环评投资概算","核心答案依据","#2_环评投资核算指南.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#2_环评投资核算指南.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\03_环评投资概算问题\01_核心答案依据文件\#2_环评投资核算指南.md","148e5c9d9c991c671536192f19d8f3334be73b64af88e775d49d56f6db1c3c0d","True"
"环评投资概算","实验Top5实际检索","#2_环评投资核算指南.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#2_环评投资核算指南.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\03_环评投资概算问题\02_实验Top5实际检索文件\#2_环评投资核算指南.md","148e5c9d9c991c671536192f19d8f3334be73b64af88e775d49d56f6db1c3c0d","True"
"环评投资概算","实验Top5实际检索","DB44_26-2001.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\DB44_26-2001.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\03_环评投资概算问题\02_实验Top5实际检索文件\DB44_26-2001.md","d42d2a095e0e9879a365309e94c4ef56b2052570307858a62f3a93d495d0fe9f","True"
"环评投资概算","实验Top5实际检索","EVID_HW_LIST_2025.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\EVID_HW_LIST_2025.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\03_环评投资概算问题\02_实验Top5实际检索文件\EVID_HW_LIST_2025.md","ff593a895d7a1999484b5ad242b450f57742f4a4d6adbf0cce66bf2f274715ef","True"
"环评投资概算","实验Top5实际检索","HJ_884-2018.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\HJ_884-2018.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\03_环评投资概算问题\02_实验Top5实际检索文件\HJ_884-2018.md","eb0813a14f360ff4ee29b71e969ff491e466c798bad114b17526f49eccb085d9","True"
"环评投资概算","实验Top5实际检索","plastic_rubber_industry_classification_checked.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\plastic_rubber_industry_classification_checked.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\03_环评投资概算问题\02_实验Top5实际检索文件\plastic_rubber_industry_classification_checked.md","758827ee6d34940c4161258b707316f9d8387a605de200dea16defa79da029c2","True"
"大气污染物排放标准","核心答案依据","DB44_2367-2022.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\DB44_2367-2022.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\04_大气污染物排放标准问题\01_核心答案依据文件\DB44_2367-2022.md","264cf199c9dca85e5d525be0c853071c31b0129cc5969827d462045ab2ee20c3","True"
"大气污染物排放标准","核心答案依据","GB_14554-93.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_14554-93.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\04_大气污染物排放标准问题\01_核心答案依据文件\GB_14554-93.md","ec30cff8b2856a700618017a7f2b548111b9e421df18959bfd88f8ef6fb55dd7","True"
"大气污染物排放标准","核心答案依据","GB_31572-2015.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_31572-2015.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\04_大气污染物排放标准问题\01_核心答案依据文件\GB_31572-2015.md","6832b4a13d2dbdd0eec35f9cfa2681950d32d7ec0dfb08a5ec3ab0772f632fe5","True"
"大气污染物排放标准","实验Top5实际检索","#8_GB31572表4排放限值.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#8_GB31572表4排放限值.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\04_大气污染物排放标准问题\02_实验Top5实际检索文件\#8_GB31572表4排放限值.md","2bce5e33461ba4c8376e1de66d4878ef75de16a0335b380d5d5eb5ea0b4dae41","True"
"大气污染物排放标准","实验Top5实际检索","DB44_2367-2022.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\DB44_2367-2022.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\04_大气污染物排放标准问题\02_实验Top5实际检索文件\DB44_2367-2022.md","264cf199c9dca85e5d525be0c853071c31b0129cc5969827d462045ab2ee20c3","True"
"大气污染物排放标准","实验Top5实际检索","GB_14554-93.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_14554-93.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\04_大气污染物排放标准问题\02_实验Top5实际检索文件\GB_14554-93.md","ec30cff8b2856a700618017a7f2b548111b9e421df18959bfd88f8ef6fb55dd7","True"
"大气污染物排放标准","实验Top5实际检索","GB_31572-2015.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_31572-2015.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\04_大气污染物排放标准问题\02_实验Top5实际检索文件\GB_31572-2015.md","6832b4a13d2dbdd0eec35f9cfa2681950d32d7ec0dfb08a5ec3ab0772f632fe5","True"
"大气污染物排放标准","实验Top5实际检索","HJ_1122-2020.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\HJ_1122-2020.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\04_大气污染物排放标准问题\02_实验Top5实际检索文件\HJ_1122-2020.md","2699b119e20c133e11afa7c1a0ade6c0514e154ea23d3b2e00f6ddb00c872ebc","True"
"水污染物排放标准","核心答案依据","#7_收纳水体地表水执行标准.csv","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#7_收纳水体地表水执行标准.csv","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\01_核心答案依据文件\#7_收纳水体地表水执行标准.csv","9d11719ae7e5e9e901f73984ecf2059f9568fbc6bd70e0d9bd727203008116ac","True"
"水污染物排放标准","核心答案依据","DB44_26-2001.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\DB44_26-2001.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\01_核心答案依据文件\DB44_26-2001.md","d42d2a095e0e9879a365309e94c4ef56b2052570307858a62f3a93d495d0fe9f","True"
"水污染物排放标准","核心答案依据","GB_T_18920-2020.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_T_18920-2020.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\01_核心答案依据文件\GB_T_18920-2020.md","25eef0be2ba14686c217afe7a4adeb0c0c1a84f290bc3dc9d139e616c96368c6","True"
"水污染物排放标准","实验Top5实际检索","#7_环境质量标准限值速查.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#7_环境质量标准限值速查.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\02_实验Top5实际检索文件\#7_环境质量标准限值速查.md","3f4db8f509f1fa0a545a54c6a4a93ac45cf0763b89c87961e6985e7ee320ab87","True"
"水污染物排放标准","实验Top5实际检索","#7_收纳水体地表水执行标准.csv","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#7_收纳水体地表水执行标准.csv","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\02_实验Top5实际检索文件\#7_收纳水体地表水执行标准.csv","9d11719ae7e5e9e901f73984ecf2059f9568fbc6bd70e0d9bd727203008116ac","True"
"水污染物排放标准","实验Top5实际检索","#8_塑料制品业典型污染源及执行标准.csv","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#8_塑料制品业典型污染源及执行标准.csv","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\02_实验Top5实际检索文件\#8_塑料制品业典型污染源及执行标准.csv","c3ebd6ecb3a314ee2b1ce3478eafb224c1a0f8c7999e2cb5bb939db995fd8e15","True"
"水污染物排放标准","实验Top5实际检索","#8_塑料制品业典型污染源及执行标准.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#8_塑料制品业典型污染源及执行标准.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\02_实验Top5实际检索文件\#8_塑料制品业典型污染源及执行标准.md","ebd01f6c56f8107ba3b29be2186931040170619ca9cdfa8f62cdc040f0bc4a4c","True"
"水污染物排放标准","实验Top5实际检索","DB44_26-2001.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\DB44_26-2001.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\02_实验Top5实际检索文件\DB44_26-2001.md","d42d2a095e0e9879a365309e94c4ef56b2052570307858a62f3a93d495d0fe9f","True"
"水污染物排放标准","实验Top5实际检索","EVID_GB18918_CURRENT.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\EVID_GB18918_CURRENT.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\02_实验Top5实际检索文件\EVID_GB18918_CURRENT.md","601a59fc0a6b24ce1db6c879669f454bb58ac28bb506fdbf0d28e27ffb8b1d63","True"
"水污染物排放标准","实验Top5实际检索","GB_3095-2012.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_3095-2012.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\02_实验Top5实际检索文件\GB_3095-2012.md","cb39c81db4410d07d47df6ee57f3962b1ee80070859d164246fae4532b60b95d","True"
"水污染物排放标准","实验Top5实际检索","GB_3838-2002.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_3838-2002.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\02_实验Top5实际检索文件\GB_3838-2002.md","10f73c7a954df549a25ea19cf497c0de59ea062fa2d455b4c2c9e0568e505eec","True"
"水污染物排放标准","实验Top5实际检索","GB_T_18920-2020.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_T_18920-2020.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\05_水污染物排放标准问题\02_实验Top5实际检索文件\GB_T_18920-2020.md","25eef0be2ba14686c217afe7a4adeb0c0c1a84f290bc3dc9d139e616c96368c6","True"
"噪声排放标准","核心答案依据","#7_GB12348噪声排放限值.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#7_GB12348噪声排放限值.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\01_核心答案依据文件\#7_GB12348噪声排放限值.md","cd428b8178c03d3743cb4e05d8bbac3c4c40a6909863ea0da59d538519df0534","True"
"噪声排放标准","核心答案依据","GB_12348-2008.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_12348-2008.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\01_核心答案依据文件\GB_12348-2008.md","d8b1ab8db64013c43ed7f93de0a6534974cbf210cbfdfda47ab87ea6513b42c5","True"
"噪声排放标准","实验Top5实际检索","#7_GB12348噪声排放限值.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#7_GB12348噪声排放限值.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\02_实验Top5实际检索文件\#7_GB12348噪声排放限值.md","cd428b8178c03d3743cb4e05d8bbac3c4c40a6909863ea0da59d538519df0534","True"
"噪声排放标准","实验Top5实际检索","DB44_26-2001.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\DB44_26-2001.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\02_实验Top5实际检索文件\DB44_26-2001.md","d42d2a095e0e9879a365309e94c4ef56b2052570307858a62f3a93d495d0fe9f","True"
"噪声排放标准","实验Top5实际检索","DB44_814-2010.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\DB44_814-2010.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\02_实验Top5实际检索文件\DB44_814-2010.md","83ed57049f431197fe3d6ce48fe3cdb5d54db7941f85b6b04fb8685cb57db417","True"
"噪声排放标准","实验Top5实际检索","EVID_GB34330_2017.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\EVID_GB34330_2017.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\02_实验Top5实际检索文件\EVID_GB34330_2017.md","f14780b5e13072c598b54c9578617c9cc236359f681a62e79a39380b740802de","True"
"噪声排放标准","实验Top5实际检索","GB_12348-2008.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_12348-2008.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\02_实验Top5实际检索文件\GB_12348-2008.md","d8b1ab8db64013c43ed7f93de0a6534974cbf210cbfdfda47ab87ea6513b42c5","True"
"噪声排放标准","实验Top5实际检索","GB_14554-93.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_14554-93.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\02_实验Top5实际检索文件\GB_14554-93.md","ec30cff8b2856a700618017a7f2b548111b9e421df18959bfd88f8ef6fb55dd7","True"
"噪声排放标准","实验Top5实际检索","GB_18597-2023.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_18597-2023.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\02_实验Top5实际检索文件\GB_18597-2023.md","805c19df30859a20df99ca05f13ac2f3484fe36c3d568b243d1b29fdd82d74bf","True"
"噪声排放标准","实验Top5实际检索","GB_3096-2008.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_3096-2008.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\02_实验Top5实际检索文件\GB_3096-2008.md","8a730ba3830b721e7f81b752c47547a2d24ae1c9327550fd472f123586b19ed0","True"
"噪声排放标准","实验Top5实际检索","GB_41616-2022.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_41616-2022.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\02_实验Top5实际检索文件\GB_41616-2022.md","0110e66b65b1317394d237899fd8bed8fcb83aa4ef51fcaa922a4d00418f994d","True"
"噪声排放标准","实验Top5实际检索","GB_T_18920-2020.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_T_18920-2020.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\06_噪声排放标准问题\02_实验Top5实际检索文件\GB_T_18920-2020.md","25eef0be2ba14686c217afe7a4adeb0c0c1a84f290bc3dc9d139e616c96368c6","True"
"固体废物控制标准","核心答案依据","#8_塑料制品业典型污染源及执行标准.csv","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#8_塑料制品业典型污染源及执行标准.csv","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\07_固体废物控制标准问题\01_核心答案依据文件\#8_塑料制品业典型污染源及执行标准.csv","c3ebd6ecb3a314ee2b1ce3478eafb224c1a0f8c7999e2cb5bb939db995fd8e15","True"
"固体废物控制标准","核心答案依据","GB_18597-2023.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\GB_18597-2023.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\07_固体废物控制标准问题\01_核心答案依据文件\GB_18597-2023.md","805c19df30859a20df99ca05f13ac2f3484fe36c3d568b243d1b29fdd82d74bf","True"
